tag_short,date,split,total_daily_duration,visit_count,avg_visit_duration,max_absence_hours,is_sick,health_note,ae_score,ae_anomaly,if_score,if_anomaly
1101,2024-10-11,train,1333.912,14,95.27942857142855,4.497090277777778,0,,0.1721943774025798,0,0.562150070658628,1
1101,2024-10-12,train,699.2669999999999,8,87.40837499999999,8.900788888888888,0,,0.07789030745184622,0,0.3914763245747187,0
1101,2024-10-13,train,777.4780000000001,11,70.67981818181819,7.174234444444444,0,,0.0974785671339558,0,0.43091383148582807,0
1101,2024-10-14,train,481.809,6,80.30149999999999,9.1499825,0,,0.07230222266225811,0,0.38451234582843824,0
1101,2024-10-16,train,492.113,5,98.4226,44.571933888888886,0,,2.6097976798744265,1,0.53962863472761,1
1101,2024-10-17,train,710.5070000000001,9,78.94522222222223,8.077380277777777,0,,0.07693576422972738,0,0.39907962141706477,0
1101,2024-10-18,train,1826.51,12,152.20916666666668,8.510377222222223,0,,1.0008330638242662,0,0.6410386645517163,1
1101,2024-10-19,train,579.937,9,64.43744444444445,10.538111666666666,0,,0.04923050779689672,0,0.38580772016843573,0
1101,2024-10-20,train,840.465,8,105.058125,9.640938888888888,0,,0.1473738936520463,0,0.41112680436282645,0
1101,2024-10-21,train,800.113,6,133.35216666666668,7.430746388888889,0,,0.3956268523757669,0,0.4521958357010711,0
1101,2024-10-22,train,610.412,7,87.20171428571429,11.625858333333332,0,,0.04723697197506778,0,0.38075586782765314,0
1101,2024-10-23,train,635.341,9,70.59344444444444,14.282383055555554,0,,0.0008330577711065499,0,0.390613011603377,0
1101,2024-10-24,train,808.4929999999999,8,101.061625,15.201540555555557,0,,0.12218265894504629,0,0.4216238277029652,0
1101,2024-10-25,train,328.807,6,54.80116666666667,11.171983611111113,0,,0.07588344291068604,0,0.37685345395189934,0
1101,2024-10-26,train,765.179,5,153.0358,13.779854722222222,0,,0.6820478114537828,0,0.43784148300180925,0
1101,2024-10-27,train,542.89,11,49.35363636363636,13.205213055555555,0,,0.1104978462056394,0,0.3923753875717485,0
1101,2024-10-28,train,140.20700000000002,3,46.735666666666674,13.362245555555557,0,,0.09454755280610615,0,0.39704425930772724,0
1101,2024-10-29,train,511.039,5,102.2078,13.353249444444444,0,,0.11679218411564381,0,0.38080108340540925,0
1101,2024-10-30,test,406.74,7,58.105714285714285,12.412503055555556,0,,0.03729436829473742,0,0.3738943303560206,0
1101,2024-10-31,test,428.694,5,85.7388,8.803320277777779,0,,0.09746498484156868,0,0.38899352799593634,0
1101,2024-11-01,test,332.379,3,110.793,10.93451,0,,0.17733962367961534,0,0.4043937562162224,0
1101,2024-11-02,test,531.952,4,132.988,14.026288888888889,0,,0.38518775942380784,0,0.4143249852969922,0
1101,2024-11-03,test,485.124,7,69.30342857142857,8.06546,0,,0.09670677437074134,0,0.3883352623905766,0
1101,2024-11-04,test,705.9639999999999,6,117.66066666666666,17.225084166666665,0,,0.30532135216980266,0,0.4101453539298619,0
1101,2024-11-05,test,394.883,6,65.81383333333333,12.12603138888889,0,,0.027694131954959306,0,0.36851654563148145,0
1101,2024-11-06,test,184.219,4,46.05475,22.55915055555555,0,,0.06397255125119841,0,0.4278043953752344,0
1101,2024-11-07,test,487.991,7,69.713,8.002822222222223,0,,0.09748020345973896,0,0.39010551415001593,0
1105,2024-10-11,train,86.184,5,17.2368,5.187310555555555,0,,0.6753943363284722,0,0.4820057996920372,0
1105,2024-10-12,train,459.602,8,57.45025,11.1064625,0,,0.06191955671119572,0,0.3746058979385641,0
1105,2024-10-13,train,666.692,7,95.24171428571428,13.832044444444444,0,,0.07482785123177021,0,0.3899323411557094,0
1105,2024-10-14,train,384.243,6,64.0405,14.514776388888889,0,,0.005262642632368813,0,0.36861932823114746,0
1105,2024-10-16,train,179.531,3,59.84366666666667,45.57043,0,,2.5709150270079006,1,0.5418265392297962,1
1105,2024-10-17,train,862.584,6,143.76399999999998,14.941477777777775,0,,0.5976505595304935,0,0.44141775470528055,0
1105,2024-10-18,train,557.917,5,111.5834,15.60592,0,,0.2090912410182464,0,0.3958773948127561,0
1105,2024-10-19,train,159.487,1,159.487,10.071644166666667,0,,0.7658975604701455,0,0.5293050131814647,1
1105,2024-10-20,train,710.942,8,88.86775,23.645050555555557,0,,0.23346123818938505,0,0.4578388549039736,0
1105,2024-10-21,train,379.452,7,54.20742857142857,17.48427583333333,0,,0.019055590406187067,0,0.38354464906508995,0
1105,2024-10-22,train,783.996,14,55.99971428571428,15.657274722222224,0,,0.1136076088403837,0,0.4551538474637796,0
1105,2024-10-23,train,1044.489,11,94.95354545454546,14.51566777777778,0,,0.07718825629171094,0,0.46154354688475646,0
1105,2024-10-24,train,334.549,6,55.75816666666666,16.014632777777777,0,,0.009676074841318863,0,0.37750581035070707,0
1105,2024-10-25,train,343.955,3,114.65166666666666,20.024686388888888,0,,0.33675227571954924,0,0.4238850615199006,0
1105,2024-10-26,train,202.811,2,101.4055,19.15037111111111,0,,0.22028522102421294,0,0.4256247353118694,0
1105,2024-10-27,train,646.398,19,34.020947368421055,15.837324166666669,0,,0.7489799097532199,0,0.5181666016285975,1
1105,2024-10-28,train,382.109,5,76.4218,11.471848333333334,0,,0.042888384514615144,0,0.3748909495445453,0
1105,2024-10-29,train,554.302,9,61.58911111111112,13.622082777777775,0,,0.01885470009389514,0,0.37950927207294044,0
1105,2024-10-30,test,422.649,7,60.37842857142857,16.662939722222223,0,,0.006055770907723331,0,0.3748277121046526,0
1105,2024-10-31,test,361.36,9,40.151111111111106,12.883757777777776,0,,0.1548905236071685,0,0.38906696176361766,0
1105,2024-11-01,test,235.763,3,78.58766666666666,16.417255555555556,0,,0.037443223927822594,0,0.388710766751792,0
1105,2024-11-02,test,108.667,2,54.3335,21.91155555555556,0,,0.08118084011486273,0,0.43702880345006856,0
1105,2024-11-03,test,428.586,4,107.1465,16.56322888888889,0,,0.18461415112598892,0,0.39030646868276286,0
1105,2024-11-04,test,732.6270000000001,9,81.403,15.500359444444443,0,,0.018283417275305157,0,0.4173877003796378,0
1105,2024-11-05,test,598.517,13,46.03976923076924,14.258897222222222,0,,0.18508544361721754,0,0.42378853390017496,0
